
[Name]
Default Boundary

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Connectivity Number, Von Mises Stress [ Pa ]
208, -9.99391917e-003, 3.30267637e-003, -3.30775557e-003, 1.20000000e+001, 4.49559360e+008
209, 1.00057758e-002, 4.19801567e-003, -1.00047244e-002, 8.00000000e+000, 4.19752256e+008
210, -9.99420229e-003, 4.21946077e-003, 9.99529939e-003, 6.00000000e+000, 4.12464736e+008
211, -9.99425258e-003, 4.21944167e-003, -9.99529287e-003, 6.00000000e+000, 4.11719040e+008
212, 2.66558374e-003, 5.74760092e-003, 1.00013809e-002, 1.10000000e+001, 1.40811184e+008
213, -9.98801086e-003, 6.48558559e-003, 2.53322697e-003, 1.20000000e+001, 4.06746176e+008
214, -9.99005046e-003, 5.88454679e-003, 6.66135084e-003, 1.40000000e+001, 4.12305792e+008
215, -6.56737993e-003, 6.10664580e-003, 9.99662839e-003, 1.30000000e+001, 2.56473904e+008
216, -9.98957921e-003, 6.11226493e-003, -6.57166727e-003, 1.10000000e+001, 4.08832640e+008
217, -6.65748119e-003, 5.87925268e-003, -9.99657437e-003, 1.00000000e+001, 2.59881280e+008
218, -2.52726232e-003, 6.47402974e-003, -9.99867916e-003, 1.00000000e+001, 1.39713280e+008
219, -1.32360333e-003, 7.71798845e-003, 9.99929756e-003, 1.20000000e+001, 1.28890592e+008
220, 6.58213627e-003, 6.08985452e-003, -1.00033851e-002, 1.30000000e+001, 2.58077760e+008
221, 1.34305132e-003, 7.71409599e-003, -1.00007085e-002, 1.60000000e+001, 1.29987776e+008
222, 6.17397157e-003, 6.12989720e-003, 1.00031756e-002, 1.10000000e+001, 2.40807568e+008
223, -9.99054499e-003, 6.32787449e-003, -9.99487564e-003, 6.00000000e+000, 3.79133952e+008
224, -9.98523924e-003, 7.73315458e-003, -1.33271317e-003, 1.20000000e+001, 3.80607904e+008
225, -9.99054499e-003, 6.32785447e-003, 9.99491476e-003, 2.00000000e+000, 3.74944544e+008
226, 2.77947658e-003, 9.12023056e-003, 1.00014433e-002, 1.40000000e+001, 1.53318192e+008
227, -9.98590235e-003, 8.43607262e-003, 9.99488216e-003, 7.00000000e+000, 3.54968064e+008
228, -5.31822583e-003, 9.56724770e-003, 9.99727380e-003, 1.00000000e+001, 2.03382576e+008
229, -9.98591539e-003, 8.43609311e-003, -9.99485515e-003, 7.00000000e+000, 3.56688032e+008
230, -6.85077207e-003, 9.07886215e-003, -9.99648403e-003, 1.00000000e+001, 2.47274000e+008
231, -9.98297334e-003, 9.08612646e-003, 6.86167507e-003, 8.00000000e+000, 3.66491584e+008
232, -9.98128206e-003, 9.57798306e-003, -5.33072557e-003, 1.00000000e+001, 3.60952128e+008
233, -2.51484057e-003, 9.56221297e-003, -9.99870431e-003, 9.00000000e+000, 1.50189648e+008
234, -9.98079777e-003, 9.57827363e-003, 2.52816849e-003, 9.00000000e+000, 3.58215296e+008
235, -9.97661520e-003, 1.11022526e-002, -2.64056353e-003, 9.00000000e+000, 3.40705408e+008
236, -2.62462348e-003, 1.10843079e-002, 9.99870244e-003, 9.00000000e+000, 1.53628720e+008
237, -5.06837561e-004, 1.17870942e-002, -9.99974459e-003, 1.40000000e+001, 1.40332800e+008
238, -9.97439120e-003, 1.18103698e-002, 5.27547789e-004, 1.00000000e+001, 3.30356832e+008
239, 5.48732234e-004, 1.17848255e-002, 1.00002680e-002, 1.00000000e+001, 1.39547264e+008
240, -9.97616351e-003, 1.16891200e-002, -7.95165822e-003, 1.40000000e+001, 3.24866080e+008
241, -9.98036563e-003, 1.05440691e-002, 9.99508984e-003, 5.00000000e+000, 3.32989824e+008
242, -9.98038147e-003, 1.05440672e-002, -9.99506749e-003, 3.00000000e+000, 3.30691328e+008
243, -7.93332513e-003, 1.16831446e-002, 9.99621209e-003, 1.00000000e+001, 2.57248416e+008
244, -9.97236557e-003, 1.26698203e-002, 5.33487648e-003, 1.40000000e+001, 3.15572192e+008
245, -5.31292614e-003, 1.26565052e-002, -9.99751687e-003, 1.40000000e+001, 1.91976992e+008
246, -4.97400854e-003, 1.31643796e-002, 9.99773759e-003, 1.00000000e+001, 1.83117584e+008
247, -9.97067709e-003, 1.31789595e-002, -4.99775587e-003, 1.20000000e+001, 3.07230080e+008
248, -9.97402426e-003, 1.26517946e-002, -9.99539904e-003, 2.00000000e+000, 3.06371904e+008
249, -9.97401588e-003, 1.26518076e-002, 9.99541581e-003, 2.00000000e+000, 3.05274528e+008
250, -9.96494759e-003, 1.47708654e-002, -1.99385849e-003, 9.00000000e+000, 2.86076288e+008
